Column1;Column2
Date;Nice
                    Jeudi 23;0.0
                    Vendredi 24;0.0
                    Samedi 25;0.0
                    Dimanche 26;0.0
                    Lundi 27;0.0
                    Mardi 28;0.0
                    Mercredi 29;0.0
                    Jeudi 30;0.0
                    Vendredi 31;0.0
                    Samedi 1;6.5
                    Dimanche 2;2.2
                    Lundi 3;0.2
                    Mardi 4;0.0
                    Mercredi 5;0.0
                    Jeudi 6;0.4
                    Vendredi 7;0.0
                    Samedi 8;0.0
                    Dimanche 9;0.0
                    Lundi 10;0.0
                    Mardi 11;0.0
                    Mercredi 12;1.4
                    Jeudi 13;0.4
                    Vendredi 14;0.0
                    Samedi 15;0.0
                    Dimanche 16;0.0
                    Lundi 17;0.0
                    Mardi 18;0.0
                    Mercredi 19;0.0
                    Jeudi 20;0.0
                    Vendredi 21;0.0
                    Samedi 22;0.0
                    Dimanche 23;0.0
                    Lundi 24;0.0
                    Mardi 25;0.0
                    Mercredi 26;0.0
                    Jeudi 27;0.0
                    Vendredi 28;0.0
                    Samedi 29;0.0
                    Dimanche 30;0.0
                    Lundi 1;2.4
                    Mardi 2;0.0
                    Mercredi 3;0.0
                    Jeudi 4;0.0
                    Vendredi 5;0.0
                    Samedi 6;0.0
                    Dimanche 7;12.9
                    Lundi 8;0.0
                    Mardi 9;0.0
                    Mercredi 10;64.1
                    Jeudi 11;3.0
                    Vendredi 12;0.0
                    Samedi 13;0.0
                    Dimanche 14;0.0
                    Lundi 15;0.0
                    Mardi 16;3.8
                    Mercredi 17;0.2
                    Jeudi 18;0.0
                    Vendredi 19;0.0
                    Samedi 20;0.0
                    Dimanche 21;0.0
                    Lundi 22;0.0
                    Mardi 23;0.0
                    Mercredi 24;0.0
                    Jeudi 25;0.0
                    Vendredi 26;2.4
                    Samedi 27;31.4
                    Dimanche 28;5.6
                    Lundi 29;29.6
                    Mardi 30;1.2
                    Mercredi 31;31.6
                    Jeudi 1;3.6
                    Vendredi 2;5.0
                    Samedi 3;0.0
                    Dimanche 4;0.4
                    Lundi 5;10.3
                    Mardi 6;29.5
                    Mercredi 7;4.6
                    Jeudi 8;4.6
                    Vendredi 9;10.2
                    Samedi 10;0.0
                    Dimanche 11;6.2
                    Lundi 12;0.0
                    Mardi 13;0.0
                    Mercredi 14;0.0
                    Jeudi 15;0.0
                    Vendredi 16;0.0
                    Samedi 17;0.0
                    Dimanche 18;0.0
                    Lundi 19;0.0
                    Mardi 20;0.6
                    Mercredi 21;7.3
                    Jeudi 22;5.0
                    Vendredi 23;35.7
                    Samedi 24;0.0
                    Dimanche 25;13.9
                    Lundi 26;0.0
                    Mardi 27;0.0
                    Mercredi 28;0.0
                    Jeudi 29;0.0
                    Vendredi 30;8.0
                    Samedi 1;0.0
                    Dimanche 2;0.0
                    Lundi 3;0.0
                    Mardi 4;0.0
                    Mercredi 5;0.0
                    Jeudi 6;0.0
                    Vendredi 7;0.0
                    Samedi 8;0.0
                    Dimanche 9;0.0
                    Lundi 10;0.0
                    Mardi 11;0.4
                    Mercredi 12;0.0
                    Jeudi 13;0.0
                    Vendredi 14;0.0
                    Samedi 15;0.0
                    Dimanche 16;6.6
                    Lundi 17;0.0
                    Mardi 18;0.6
                    Mercredi 19;43.0
                    Jeudi 20;0.0
                    Vendredi 21;0.0
                    Samedi 22;0.0
                    Dimanche 23;0.0
                    Lundi 24;0.0
                    Mardi 25;0.0
                    Mercredi 26;0.0
                    Jeudi 27;0.0
                    Vendredi 28;0.0
                    Samedi 29;0.0
                    Dimanche 30;0.0
                    Lundi 31;0.0
