Date,Nice
                    Dimanche 1,0.0
                    Lundi 2,0.0
                    Mardi 3,0.0
                    Mercredi 4,0.0
                    Jeudi 5,0.0
                    Vendredi 6,0.0
                    Samedi 7,0.0
                    Dimanche 8,0.0
                    Lundi 9,0.0
                    Mardi 10,1.2
                    Mercredi 11,0.0
                    Jeudi 12,0.0
                    Vendredi 13,0.0
                    Samedi 14,1.0
                    Dimanche 15,0.0
                    Lundi 16,0.0
                    Mardi 17,0.0
                    Mercredi 18,0.0
                    Jeudi 19,0.0
                    Vendredi 20,0.0
                    Samedi 21,0.0
                    Dimanche 22,3.2
                    Lundi 23,0.0
                    Mardi 24,0.0
                    Mercredi 25,0.0
                    Jeudi 26,0.0
                    Vendredi 27,2.2
                    Samedi 28,3.2
                    Dimanche 29,0.0
                    Lundi 30,0.0
                    Mardi 31,0.0
                    Mercredi 1,0.0
                    Jeudi 2,7.0
                    Vendredi 3,3.2
                    Samedi 4,6.0
                    Dimanche 5,9.7
                    Lundi 6,0.0
                    Mardi 7,0.0
                    Mercredi 8,4.2
                    Jeudi 9,4.0
                    Vendredi 10,0.0
                    Samedi 11,0.0
                    Dimanche 12,0.0
                    Lundi 13,0.0
                    Mardi 14,0.0
                    Mercredi 15,0.0
                    Jeudi 16,0.0
                    Vendredi 17,0.0
                    Samedi 18,0.0
                    Dimanche 19,0.0
                    Lundi 20,0.0
                    Mardi 21,0.0
                    Mercredi 22,0.0
                    Jeudi 23,0.0
                    Vendredi 24,0.0
                    Samedi 25,0.0
                    Dimanche 26,0.0
                    Lundi 27,6.4
                    Mardi 28,1.2
                    Mercredi 1,0.0
                    Jeudi 2,0.0
                    Vendredi 3,0.8
                    Samedi 4,9.5
                    Dimanche 5,0.0
                    Lundi 6,0.0
                    Mardi 7,0.0
                    Mercredi 8,0.0
                    Jeudi 9,0.0
                    Vendredi 10,0.0
                    Samedi 11,0.0
                    Dimanche 12,0.0
                    Lundi 13,0.0
                    Mardi 14,0.0
                    Mercredi 15,0.0
                    Jeudi 16,0.0
                    Vendredi 17,0.0
                    Samedi 18,0.0
                    Dimanche 19,0.0
                    Lundi 20,0.0
                    Mardi 21,0.0
                    Mercredi 22,0.0
                    Jeudi 23,39.7
