Date,Nice
                    Mardi 1,0.0
                    Mercredi 2,0.0
                    Jeudi 3,0.0
                    Vendredi 4,0.0
                    Samedi 5,0.0
                    Dimanche 6,0.0
                    Lundi 7,0.0
                    Mardi 8,0.0
                    Mercredi 9,0.0
                    Jeudi 10,0.0
                    Vendredi 11,0.0
                    Samedi 12,0.0
                    Dimanche 13,0.0
                    Lundi 14,0.0
                    Mardi 15,0.0
                    Mercredi 16,0.0
                    Jeudi 17,0.2
                    Vendredi 18,0.0
                    Samedi 19,0.0
                    Dimanche 20,0.0
                    Lundi 21,0.0
                    Mardi 22,0.0
                    Mercredi 23,0.2
                    Jeudi 24,0.0
                    Vendredi 25,0.0
                    Samedi 26,0.0
                    Dimanche 27,0.0
                    Lundi 28,0.0
                    Mardi 29,1.2
                    Mercredi 30,0.0
                    Jeudi 31,15.5
                    Vendredi 1,52.9
                    Samedi 2,24.0
                    Dimanche 3,0.0
                    Lundi 4,0.0
                    Mardi 5,0.0
                    Mercredi 6,0.0
                    Jeudi 7,0.0
                    Vendredi 8,0.0
                    Samedi 9,0.0
                    Dimanche 10,0.0
                    Lundi 11,0.0
                    Mardi 12,0.0
                    Mercredi 13,0.0
                    Jeudi 14,0.0
                    Vendredi 15,0.0
                    Samedi 16,0.0
                    Dimanche 17,0.0
                    Lundi 18,0.0
                    Mardi 19,0.0
                    Mercredi 20,0.0
                    Jeudi 21,0.0
                    Vendredi 22,0.0
                    Samedi 23,0.0
                    Dimanche 24,0.0
                    Lundi 25,0.0
                    Mardi 26,0.0
                    Mercredi 27,0.0
                    Jeudi 28,0.0
                    Vendredi 1,0.0
                    Samedi 2,0.0
                    Dimanche 3,0.0
                    Lundi 4,0.0
                    Mardi 5,0.0
                    Mercredi 6,0.0
                    Jeudi 7,0.0
                    Vendredi 8,0.0
                    Samedi 9,0.0
                    Dimanche 10,0.0
                    Lundi 11,0.0
                    Mardi 12,0.0
                    Mercredi 13,0.0
                    Jeudi 14,0.0
                    Vendredi 15,0.0
                    Samedi 16,0.0
                    Dimanche 17,0.0
                    Lundi 18,0.0
                    Mardi 19,0.0
                    Mercredi 20,0.0
                    Jeudi 21,0.0
                    Vendredi 22,0.0
                    Samedi 23,0.0
                    Dimanche 24,0.0
                    Lundi 25,0.0
                    Mardi 26,0.0
                    Mercredi 27,0.0
