Date,Nice
                    Mardi 24,41.9
                    Mercredi 25,0.0
                    Jeudi 26,0.0
                    Vendredi 27,0.0
                    Samedi 28,0.0
                    Dimanche 29,0.0
                    Lundi 30,0.0
                    Mardi 31,0.0
                    Mercredi 1,0.0
                    Jeudi 2,0.2
                    Vendredi 3,0.0
                    Samedi 4,0.0
                    Dimanche 5,0.0
                    Lundi 6,0.0
                    Mardi 7,0.0
                    Mercredi 8,0.0
                    Jeudi 9,0.0
                    Vendredi 10,0.0
                    Samedi 11,0.0
                    Dimanche 12,0.0
                    Lundi 13,0.0
                    Mardi 14,0.0
                    Mercredi 15,20.5
                    Jeudi 16,1.6
                    Vendredi 17,0.0
                    Samedi 18,0.0
                    Dimanche 19,0.0
                    Lundi 20,18.3
                    Mardi 21,0.0
                    Mercredi 22,0.0
                    Jeudi 23,0.0
                    Vendredi 24,0.0
                    Samedi 25,0.0
                    Dimanche 26,6.7
                    Lundi 27,0.0
                    Mardi 28,0.0
                    Mercredi 29,0.0
                    Jeudi 30,0.0
                    Vendredi 1,0.0
                    Samedi 2,0.0
                    Dimanche 3,5.5
                    Lundi 4,10.7
                    Mardi 5,0.0
                    Mercredi 6,0.0
                    Jeudi 7,0.0
                    Vendredi 8,0.0
                    Samedi 9,6.9
                    Dimanche 10,0.0
                    Lundi 11,0.0
                    Mardi 12,1.0
                    Mercredi 13,0.0
                    Jeudi 14,0.0
                    Vendredi 15,0.0
                    Samedi 16,0.0
                    Dimanche 17,0.0
                    Lundi 18,0.0
                    Mardi 19,0.0
                    Mercredi 20,0.4
                    Jeudi 21,0.0
                    Vendredi 22,0.0
                    Samedi 23,0.0
                    Dimanche 24,0.0
                    Lundi 25,0.0
                    Mardi 26,0.0
                    Mercredi 27,0.0
                    Jeudi 28,0.0
                    Vendredi 29,0.0
                    Samedi 30,15.3
                    Dimanche 31,2.8
                    Lundi 1,31.3
                    Mardi 2,2.0
                    Mercredi 3,6.8
                    Jeudi 4,0.0
                    Vendredi 5,0.0
                    Samedi 6,0.0
                    Dimanche 7,0.0
                    Lundi 8,0.0
                    Mardi 9,0.2
                    Mercredi 10,2.2
                    Jeudi 11,0.6
                    Vendredi 12,0.0
                    Samedi 13,0.0
                    Dimanche 14,5.6
                    Lundi 15,11.1
                    Mardi 16,2.0
                    Mercredi 17,0.0
                    Jeudi 18,0.0
                    Vendredi 19,0.0
                    Samedi 20,0.0
                    Dimanche 21,0.8
                    Lundi 22,0.0
                    Mardi 23,0.0
                    Mercredi 24,20.2
                    Jeudi 25,1.2
                    Vendredi 26,0.0
                    Samedi 27,0.0
                    Dimanche 28,0.0
                    Lundi 29,0.0
                    Mardi 30,0.0
                    Mercredi 1,0.0
                    Jeudi 2,0.0
                    Vendredi 3,0.0
                    Samedi 4,0.0
                    Dimanche 5,0.0
                    Lundi 6,0.0
                    Mardi 7,11.1
                    Mercredi 8,6.2
                    Jeudi 9,0.0
                    Vendredi 10,1.0
                    Samedi 11,0.0
                    Dimanche 12,0.0
                    Lundi 13,0.0
                    Mardi 14,0.0
                    Mercredi 15,0.0
                    Jeudi 16,0.0
                    Vendredi 17,0.0
                    Samedi 18,0.0
                    Dimanche 19,0.0
                    Lundi 20,0.0
                    Mardi 21,0.0
                    Mercredi 22,0.0
                    Jeudi 23,0.0
                    Vendredi 24,2.8
                    Samedi 25,20.8
                    Dimanche 26,0.0
                    Lundi 27,6.5
                    Mardi 28,0.0
                    Mercredi 29,0.0
                    Jeudi 30,0.2
                    Vendredi 31,0.0
