Date,Nice
                    Mercredi 1,0.0
                    Jeudi 2,0.0
                    Vendredi 3,0.0
                    Samedi 4,0.0
                    Dimanche 5,0.0
                    Lundi 6,0.0
                    Mardi 7,0.0
                    Mercredi 8,0.0
                    Jeudi 9,0.0
                    Vendredi 10,1.0
                    Samedi 11,0.0
                    Dimanche 12,0.0
                    Lundi 13,0.0
                    Mardi 14,0.0
                    Mercredi 15,0.0
                    Jeudi 16,0.0
                    Vendredi 17,18.0
                    Samedi 18,0.0
                    Dimanche 19,0.0
                    Lundi 20,0.0
                    Mardi 21,0.0
                    Mercredi 22,0.0
                    Jeudi 23,0.0
                    Vendredi 24,2.0
                    Samedi 25,0.0
                    Dimanche 26,0.0
                    Lundi 27,0.6
                    Mardi 28,0.0
                    Mercredi 29,0.0
                    Jeudi 30,0.0
                    Vendredi 31,0.0
                    Samedi 1,0.0
                    Dimanche 2,0.0
                    Lundi 3,0.0
                    Mardi 4,0.0
                    Mercredi 5,0.0
                    Jeudi 6,0.0
                    Vendredi 7,0.0
                    Samedi 8,0.0
                    Dimanche 9,0.0
                    Lundi 10,0.0
                    Mardi 11,0.0
                    Mercredi 12,0.0
                    Jeudi 13,0.0
                    Vendredi 14,0.0
                    Samedi 15,0.0
                    Dimanche 16,0.0
                    Lundi 17,0.0
                    Mardi 18,0.0
                    Mercredi 19,0.0
                    Jeudi 20,0.0
                    Vendredi 21,0.0
                    Samedi 22,0.0
                    Dimanche 23,0.0
                    Lundi 24,0.0
                    Mardi 25,0.0
                    Mercredi 26,0.0
                    Jeudi 27,0.0
                    Vendredi 28,0.0
                    Samedi 29,0.0
                    Dimanche 1,4.8
                    Lundi 2,43.2
                    Mardi 3,0.0
                    Mercredi 4,0.0
                    Jeudi 5,22.2
                    Vendredi 6,0.0
                    Samedi 7,0.0
                    Dimanche 8,0.0
                    Lundi 9,0.0
                    Mardi 10,0.0
                    Mercredi 11,0.0
                    Jeudi 12,0.2
                    Vendredi 13,0.0
                    Samedi 14,0.0
                    Dimanche 15,0.0
                    Lundi 16,0.0
                    Mardi 17,0.0
                    Mercredi 18,0.0
                    Jeudi 19,0.0
                    Vendredi 20,0.0
                    Samedi 21,0.0
                    Dimanche 22,0.0
                    Lundi 23,0.0
                    Mardi 24,0.0
                    Mercredi 25,0.0
                    Jeudi 26,0.4
                    Vendredi 27,0.0
                    Samedi 28,0.0
                    Dimanche 29,0.0
                    Lundi 30,0.6
                    Mardi 31,1.2
                    Mercredi 1,0.0
                    Jeudi 2,0.0
                    Vendredi 3,0.0
                    Samedi 4,0.0
                    Dimanche 5,0.0
                    Lundi 6,0.0
                    Mardi 7,0.0
                    Mercredi 8,0.0
                    Jeudi 9,0.0
                    Vendredi 10,0.0
                    Samedi 11,0.0
                    Dimanche 12,0.0
                    Lundi 13,0.0
                    Mardi 14,0.0
                    Mercredi 15,0.0
                    Jeudi 16,0.0
                    Vendredi 17,0.0
                    Samedi 18,0.0
                    Dimanche 19,12.4
                    Lundi 20,1.2
                    Mardi 21,0.2
                    Mercredi 22,0.0
                    Jeudi 23,0.0
                    Vendredi 24,0.0
                    Samedi 25,0.0
                    Dimanche 26,0.0
                    Lundi 27,11.0
                    Mardi 28,54.7
                    Mercredi 29,0.0
                    Jeudi 30,0.0
                    Vendredi 1,0.0
                    Samedi 2,0.0
                    Dimanche 3,0.0
                    Lundi 4,0.0
                    Mardi 5,0.0
                    Mercredi 6,0.0
                    Jeudi 7,0.0
                    Vendredi 8,0.0
                    Samedi 9,1.0
                    Dimanche 10,43.3
                    Lundi 11,3.8
                    Mardi 12,0.0
                    Mercredi 13,1.4
                    Jeudi 14,8.3
                    Vendredi 15,0.0
                    Samedi 16,12.9
                    Dimanche 17,5.0
                    Lundi 18,0.2
                    Mardi 19,1.0
                    Mercredi 20,0.0
                    Jeudi 21,0.0
                    Vendredi 22,0.0
                    Samedi 23,0.0
                    Dimanche 24,0.0
                    Lundi 25,0.0
                    Mardi 26,0.0
                    Mercredi 27,0.0
                    Jeudi 28,0.6
                    Vendredi 29,0.0
                    Samedi 30,0.4
                    Dimanche 31,0.0
                    Lundi 1,0.0
                    Mardi 2,0.0
                    Mercredi 3,25.5
                    Jeudi 4,48.3
                    Vendredi 5,0.0
                    Samedi 6,1.0
                    Dimanche 7,1.8
                    Lundi 8,0.0
                    Mardi 9,0.0
                    Mercredi 10,0.4
                    Jeudi 11,0.0
                    Vendredi 12,0.0
                    Samedi 13,9.4
                    Dimanche 14,0.0
                    Lundi 15,0.0
                    Mardi 16,0.0
                    Mercredi 17,0.0
                    Jeudi 18,0.0
                    Vendredi 19,0.0
                    Samedi 20,0.0
                    Dimanche 21,0.0
                    Lundi 22,0.0
                    Mardi 23,0.0
                    Mercredi 24,0.0
                    Jeudi 25,0.0
                    Vendredi 26,0.0
                    Samedi 27,0.0
                    Dimanche 28,0.0
                    Lundi 29,0.0
                    Mardi 30,0.0
                    Mercredi 1,0.0
                    Jeudi 2,0.0
                    Vendredi 3,0.2
                    Samedi 4,0.0
                    Dimanche 5,0.0
                    Lundi 6,0.0
                    Mardi 7,0.0
                    Mercredi 8,0.0
                    Jeudi 9,0.0
                    Vendredi 10,0.0
                    Samedi 11,0.0
                    Dimanche 12,0.0
                    Lundi 13,0.2
                    Mardi 14,0.2
                    Mercredi 15,0.6
                    Jeudi 16,0.0
                    Vendredi 17,0.0
                    Samedi 18,1.4
                    Dimanche 19,0.0
                    Lundi 20,0.0
                    Mardi 21,0.0
                    Mercredi 22,0.0
                    Jeudi 23,0.0
                    Vendredi 24,0.0
                    Samedi 25,0.0
                    Dimanche 26,0.0
                    Lundi 27,0.0
                    Mardi 28,0.0
                    Mercredi 29,0.0
                    Jeudi 30,0.0
                    Vendredi 31,0.0
                    Samedi 1,0.0
                    Dimanche 2,0.0
                    Lundi 3,2.2
                    Mardi 4,0.0
                    Mercredi 5,0.0
                    Jeudi 6,0.0
                    Vendredi 7,0.0
                    Samedi 8,0.0
